id,type,addrs,value,name,owner,img_url,page,prov_id,prov,city
02080000031,عمارة,12 ش السلحدار ناصية شفيق غربال,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000031.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000032,عمارة,13 ش السلحدار ناصية شفيق غربال,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000032.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000033,عمارة,12 ش شفيق غربال,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000034,عمارة,17 ش شفيق غربال,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000035,عمارة,67 ش الخليفة المأمون ناصية شفيق غربال,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000036,عمارة,12 ش عثمان بن عفان ناصية طلخا,ذو قيمة معمارى/عمرانى متميز,,,http://urbanharmony.org/images/tazalomat/12Othman%20Ebn%20Afan.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000037,عمارة,44 ش صلاح الدين ناصية ش عثمان بن عفان,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
2080000038,كنيسة,22 ش عثمان بن عفان,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000039,عمارة,24 عثمان بن عفان ناصية الفسطاط,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000041,فيلا,33 ش عثمان بن عفان ناصية الامام علي,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000041.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000042,عمارة,31 ش عثمان بن عفان,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000043,عمارة,34 ش عثمان بن عفان ناصية امين الخولي,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000044,عمارة,29 ش عثمان بن عفان,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000045,عمارة,35 ش عثمان بن عفان,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000046,عمارة,37 ش عثمان بن عفان,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000046.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000047,عقار,36 ش عثمان بن عفان 6 ميدان الخلفاء,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000048,عمارة,40 ش عثمان بن عفان ناصية ميدان الخلفاء,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000048.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000049,عمارة,43 ش عثمان بن عفان,ذو قيمة معمارى/عمرانى متميز,,,http://urbanharmony.org/images/tazalomat/02080000049.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000050,عمارة,20 ش عثمان بن عفان ناصية اسماعيل رمزي,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000051,عمارة,16 ش عثمان بن عفان,ذو قيمة معمارى/عمرانى متميز,,,http://urbanharmony.org/images/tazalomat/02080000051.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000052,عمارة,3 ش صلاح الدين ناصية ش اسيوط,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000053,عمارة,5 ش صلاح الدين,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000054,عمارة,6 ش صلاح الدين,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000055,عمارة,7 ش صلاح الدين,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000056,عمارة,9 ش صلاح الدين ناصية دسوق,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000057,عمارة,12 ش صلاح الدين ناصية زفتى,ذو طراز معمارى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000061,عمارة,21 ش صلاح الدين,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000062,عمارة,22 ش صلاح الدين,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000063,عمارة,26 ش صلاح الدين ناصية ش صبري ابو علم,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000064,عمارة,28 ش صلاح الدين,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000065,عمارة,30 ش صلاح الدين,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000066,عمارة,32 ش صلاح الدين,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000067,عمارة,34 ش صلاح الدين,ذو قيمة معمارى/عمرانى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000069,عمارة,19 ش عثمان بن عفان ناصية صلاح الدين,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000078,فيلا,20 شارع العروبة ناصية محرم شوقي,ذو طراز معمارى متميز,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000079,مدرسة,8 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000080,فيلا,9 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000080.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000081,فيلا,12 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000082,قصر,16 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000083,عمارة,20 رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000085,فيلا,24 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000099,قصر,55 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000100,فيلا,26 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000101,عمارة,7 ش بغداد ناصية رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000102,عمارة,5 ش بغداد ناصية سيتي,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000103,عمارة,6 ش بغداد ناصية ش البوسطة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000104,عمارة,3 ش بغداد ناصية سيتي,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000105,عمارة,4 ش بغداد,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000106,عمارة,43 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000107,عقار,45 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000107.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000108,عقار,47 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000110,عمارة,49 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000111,عمارة,53 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000112,عمارة,64 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000112.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000113,عقار,66 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000114,عمارة,68 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000115,عمارة,55 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000116,عمارة,70 ش رمسيس,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000117,عمارة,19 ش قايتباي,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000118,عمارة,29 ش عمر بن الخطاب ناصية قايتباي,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/29%20Omar%20Ebn%20El%20Khatab.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000119,عمارة,31 ش عمر بن الخطاب,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000120,عمارة,33 ش عمر بن الخطاب ناصية دسوق,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000121,عمارة,30  ش عمر بن الخطاب,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000121.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000122,عمارة,35 ش عمر بن الخطاب ناصية دسوق,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000122.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000123,عمارة,39 ش عمر بن الخطاب ناصية الخليفة الهادي,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000125,فيلا,41 ش عمر بن الخطاب ناصية الخليفة الهادي,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000129,فيلا,50 ش عمر بن الخطاب ناصية افلاطون,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000131,عمارة,37 ش عمر بن الخطاب,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000132,عمارة,26 ش الثورة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000133,فيلا,28 شارع الثورة,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000133.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000134,فيلا,30 شارع الثورة,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000134.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000135,فيلا,32 شارع الثورة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000136,فيلا,34 شارع الثورة,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000136.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000137,عمارة,36 شارع الثورة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000151,عمارة,17 ش غرناطة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000152,عمارة,11 ش غرناطة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000153,عمارة,9 ش غرناطة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000154,عمارة,1 ش غرناطة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000155,عمارة,2 ش ابراهيم اللقاني - ناصية غرناطة,ذو قيمة معمارىة/عمرانىة متميزة,,,http://urbanharmony.org/images/tazalomat/02080000155.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000156,عمارة,4 ش ابراهيم اللقاني ناصية دمشق,ذو قيمة معمارىة/عمرانىة متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000157,عمارة,19 ش ابراهيم اللقاني,ذو قيمة معمارىة/عمرانىة متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000158,عمارة,17 ش ابراهيم اللقاني,ذو قيمة معمارىة/عمرانىة متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000159,عمارة,15 ش ابراهيم اللقاني ناصية المماليك,ذو قيمة معمارىة/عمرانىة متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000160,عمارة,13 ش ابراهيم اللقاني,ذو قيمة معمارىة/عمرانىة متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000161,عمارة,9 ش ابراهيم اللقاني,ذو قيمة معمارىة/عمرانىة متميزة,,,http://urbanharmony.org/images/tazalomat/02080000161.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000162,عمارة,7 ش ابراهيم اللقاني,ذو قيمة معمارىة/عمرانىة متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000163,عمارة,5 ش ابراهيم اللقاني,ذو قيمة معمارىة/عمرانىة متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000164,عمارة,3 ش ابراهيم اللقاني,ذو قيمة معمارىة/عمرانىة متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000165,عمارة,1 ش ابراهيم اللقاني ناصية شفيق غربال,ذو قيمة معمارىة/عمرانىة متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000166,عمارة,0 مدينة غرناطة (ش غرناطة),ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000167,عمارة,0 ش الخليفة المأمون,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000168,عمارة,14 ش غرناطة ناصية ابراهيم باشا,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000169,عمارة,21 ش غرناطة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000170,عمارة,23 ش غرناطة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000171,عمارة,18 ش غرناطة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000173,عمارة,22 ش غرناطة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000174,عمارة,37 ش ابراهيم,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000174.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000175,عمارة,33 ش ابراهيم,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000176,عمارة,26 ش ابراهيم,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000177,عمارة,18 ش ابراهيم,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000178,عمارة,21 ش ابراهيم,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000179,عمارة,20 ش ابراهيم,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000180,عمارة,25 ش ابراهيم,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000181,عمارة,24 ش ابراهيم,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000182,عمارة,15 ش ابراهيم,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000182.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000189,عمارة,38 ش مراد بك - 52 ش العروبة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000191,عمارة,24 ش فريد,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000191.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000192,عمارة,88 شارع بيروت,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000193,عمارة,42 شارع العروبة ناصية  بيروت,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000194,فيلا,23 ش منوف,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000194.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000196,فيلا,44 ش العروبة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000197,عمارة,28 ش رشيد,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000198,عمارة,30 ش دسوق,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000200,عمارة,13 ش رشيد,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000201,عمارة,17 ش رشيد ناصية دسوق,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000202,فيلا,7 ش قايتباي,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000203,عقار,86 شارع بيروت,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000206,فيلا,15 ش عبد الواحد الوكيل,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000206.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000207,فيلا,17 ش عبد الواحد الوكيل,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000207.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000216,عمارة,32 ش فريد,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000217,عمارة,4 ش مصطفى مشرفة,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000221,عمارة,1 شارع بيروت,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000221.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000224,مدرسة,5 ش بيروت,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000226,مدرسة,7 شارع بيروت,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000227,عمارة,13 ش بيروت,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000228,عمارة,38 شارع بيروت,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000229,عقار,46 شارع بيروت,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000229.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000230,عمارة,44 شارع بيروت,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000230.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000231,كنيسة,0 ش الاهرام,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000232,عمارة,42 شارع بيروت,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000233,كنيسة,50 شارع بيروت,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000235,عمارة,56 شارع بيروت,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000236,فيلا,60 شارع بيروت,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000237,فيلا,62 شارع بيروت,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000238,عقار,40 شارع بيروت,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000239,فيلا,11 شارع بيروت ناصية المنيا,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000239.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000241,فيلا,35 شارع بيروت,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000242,عمارة,52 ش دمشق,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000243,عمارة,44 ش دمشق,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/44%20Demeshk%20st.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000244,عمارة,38 ش دمشق,ذو قيمة معمارية/عمرانية متميزة,,,http://urbanharmony.org/images/tazalomat/02080000244.jpg,5,1,حى مصر الجديدة,محافظة القاهرة
02080000245,عمارة,36 ش دمشق,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000246,عمارة,35 ش دمشق,ذو قيمة معمارىية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000247,عمارة,34 ش دمشق,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000248,عمارة,32 ش دمشق,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000249,عمارة,29 ش دمشق,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000250,عمارة,27 ش دمشق,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
02080000251,عمارة,25 ش دمشق,ذو قيمة معمارية/عمرانية متميزة,,,,5,1,حى مصر الجديدة,محافظة القاهرة
