page,prov_id,prov,city
160,6,منشأة أبو ذكرى,محافظة المنوفية
161,6,عرب الرمل,محافظة المنوفية
105,9,حى غرب,محافظة الدقهلية
106,9,حى شرق,محافظة الدقهلية
107,9,مركز المنصورة,محافظة الدقهلية
108,9,مركز طلخا,محافظة الدقهلية
109,9,مركز أجا,محافظة الدقهلية
110,9,مدينة ميت غمر,محافظة الدقهلية
111,9,مدينة السنبلاوين,محافظة الدقهلية
112,9,مدينة الجمالية,محافظة الدقهلية
113,9,مدينة دكرنس,محافظة الدقهلية
114,9,مدينة بلقاس,محافظة الدقهلية
115,9,مدينة المنزلة,محافظة الدقهلية
116,9,ميت سلسيل,محافظة الدقهلية
206,13,مدينة الاسماعليلية,محافظة الاسماعلية
174,15,دهب,محافظة شمال سيناء
2,1,المنطقة الجنوبية,محافظة القاهرة
3,1,المنطقة الغربية,محافظة القاهرة
4,1,المنطقة الشرقية,محافظة القاهرة
203,1,,محافظة القاهرة
67,2,حى العجوزة,محافظة الجيزة
68,2,حى العمرانية,محافظة الجيزة
69,2,حى جنوب,محافظة الجيزة
70,2,حى الهرم,محافظة الجيزة
71,2,حى شمال,محافظة الجيزة
44,4,حى غرب,محافظة الاسكندرية
45,4,حى شرق,محافظة الاسكندرية
46,4,حى المنتزة,محافظة الاسكندرية
47,4,حى الجمرك,محافظة الاسكندرية
48,4,حى العامرية,محافظة الاسكندرية
49,4,حى برج العرب,محافظة الاسكندرية
129,6,تلا,محافظة المنوفية
130,6,الشهداء,محافظة المنوفية
131,6,بركة السبع,محافظة المنوفية
132,6,منوف,محافظة المنوفية
133,6,الباجور,محافظة المنوفية
134,6,أشمون,محافظة المنوفية
135,6,قويسنا,محافظة المنوفية
61,7,حى ثان طنطا,محافظة الغربية
62,7,كفر الزيات,محافظة الغربية
63,7,زفتى,محافظة الغربية
64,7,سمنود,محافظة الغربية
65,7,المحلة الكبرى,محافظة الغربية
121,8,مدينة منيا القمح,محافظة الشرقية
122,8,مدينة بلبيس,محافظة الشرقية
123,8,مركز أبو كبير,محافظة الشرقية
124,8,أماكن أخري,محافظة الشرقية
97,9,مركز أجا,محافظة الدقهلية
98,9,مدينة ميت غمر,محافظة الدقهلية
99,9,مدينة السنبلاوين,محافظة الدقهلية
100,9,مدينة الجمالية,محافظة الدقهلية
101,9,مدينة دكرنس,محافظة الدقهلية
102,9,مدينة بلقاس,محافظة الدقهلية
103,9,مدينة المنزلة,محافظة الدقهلية
104,9,ميت سلسيل,محافظة الدقهلية
56,10,مدينة الحامول,محافظة كفر الشيخ
57,10,مدينة بلطيم,محافظة كفر الشيخ
86,10,مدينة كفر الشيخ,محافظة كفر الشيخ
87,10,مركز دسوق,محافظة كفر الشيخ
185,11,مركز كفر سعد,محافظة دمياط
194,11,مركز الزرقا,محافظة دمياط
94,12,حى العرب,محافظة بورسعيد
95,12,حى المناخ,محافظة بورسعيد
118,12,بور فؤاد,محافظة بورسعيد
78,18,مركز و مدينة القناطر الخيرية,محافظة القليوبية
79,18,مركز و مدينة الخانكة,محافظة القليوبية
80,18,مركز و مدينة شبين القناطر,محافظة القليوبية
81,18,مدينة قها,محافظة القليوبية
82,18,مدينة شبرا الخيمة,محافظة القليوبية
83,18,مركز و مدينة كفر شكر,محافظة القليوبية
84,18,مركز ومدينة بنها,محافظة القليوبية
85,18,مركز و مدينة طوخ,محافظة القليوبية
73,22,مركز و مدينة سنورس,محافظة الفيوم
74,22,مركز و مدينة إطسا,محافظة الفيوم
75,22,مركز و مدينة أبشواى,محافظة الفيوم
76,22,مركز و مدينة طامية,محافظة الفيوم
